Device,C1,,Device,C2,,Device,C3,,Device,C4,,Device,C5,,Device,C6,
V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W]
1.955127,0.047126542,0.092138375,1.9550694,0.047389226,0.092649226,1.9550502,0.047170046,0.092219808,1.9550294,0.048251268,0.094332648,1.955031,0.047837566,0.093523924,1.9550096,0.048490656,0.094799698
1.9738316,0.04688574,0.092544555,1.9737666,0.047249524,0.093259532,1.9737502,0.047015772,0.092797389,1.9737298,0.048043574,0.094825034,1.9737244,0.047675786,0.094098862,1.9737082,0.048322824,0.095375154
1.9926636,0.04662795,0.092913819,1.992597,0.047062708,0.093777011,1.9925798,0.046803868,0.093260442,1.992555,0.04783739,0.095318631,1.9925576,0.047485368,0.094617331,1.9925446,0.04807781,0.095797181
2.011483,0.046405432,0.093343738,2.011418,0.046910194,0.094356009,2.0113992,0.04663748,0.09380659,2.0113764,0.047578688,0.09569865,2.011382,0.047336948,0.095212685,2.011363,0.04786178,0.096267413
2.0302536,0.04610562,0.093606101,2.0301852,0.04669098,0.094791337,2.0301768,0.046445272,0.094292114,2.0301512,0.04739343,0.096215829,2.0301556,0.047128304,0.09567779,2.0301318,0.047600014,0.096634302
2.049025,0.04577316,0.093790349,2.0489596,0.046404982,0.095081933,2.0489516,0.046249012,0.094761987,2.0489264,0.047141752,0.09658998,2.0489308,0.046823798,0.095938722,2.0489082,0.04734127,0.096997916
2.0678358,0.045400514,0.093880808,2.0677878,0.046120724,0.09536787,2.0677742,0.045952696,0.095019799,2.0677462,0.046909496,0.096996932,2.0677556,0.046534764,0.096222519,2.0677302,0.047071038,0.097330207
2.0866654,0.045048288,0.094000704,2.0866108,0.045820536,0.095609625,2.086594,0.045709768,0.095377728,2.0865682,0.046587724,0.097208463,2.0865738,0.04627683,0.096560021,2.0865442,0.046767538,0.097582535
2.1054902,0.04466357,0.094038709,2.105428,0.045506486,0.09581063,2.1054256,0.045433226,0.095656277,2.1053978,0.04629448,0.097468296,2.1053958,0.046009346,0.096867884,2.1053666,0.046479992,0.097857423
2.1243058,0.04429809,0.09410269,2.124249,0.045117696,0.095841221,2.1242366,0.045120988,0.095847654,2.1242108,0.04591597,0.097535199,2.1242104,0.045725282,0.09713012,2.124191,0.04612917,0.097987168
2.1431278,0.043867056,0.094012707,2.1430742,0.044777492,0.095961488,2.1430556,0.04472255,0.095842911,2.1430314,0.045573754,0.097665986,2.1430328,0.045383972,0.097259341,2.1430138,0.045819464,0.098191744
2.1618858,0.043385728,0.093794989,2.1618228,0.044411106,0.096008942,2.1618136,0.044359158,0.095896231,2.1617906,0.04518852,0.097688118,2.1617874,0.045068166,0.097427793,2.1617692,0.045414236,0.098175097
2.180639,0.042837614,0.093413372,2.180583,0.0440015,0.095948923,2.1805736,0.043964986,0.095868888,2.1805548,0.044775186,0.097634747,2.1805512,0.044689874,0.097448558,2.1805306,0.045074696,0.098286754
2.1993344,0.042226728,0.092870695,2.1992826,0.043557096,0.095794363,2.199257,0.043475548,0.095613903,2.199245,0.044375436,0.097592456,2.199241,0.044237284,0.097288449,2.1992294,0.044608424,0.098104158
2.2181618,0.04152126,0.092100873,2.2181092,0.043135408,0.095679045,2.2180844,0.0429719,0.095315301,2.2180748,0.04390433,0.097383088,2.218068,0.043767532,0.097079362,2.218056,0.044136768,0.097897823
2.23699,0.04075099,0.091159557,2.236932,0.04259919,0.095291491,2.2369148,0.042435094,0.09492369,2.2369022,0.043370456,0.097015468,2.2368962,0.043277966,0.096808318,2.2368746,0.04356355,0.097446198
